Normal	Cerulean Cave	36.047193	140.167760
Normal	Safari Zone	36.036145	140.484194
Poison	Safari Zone	36.036145	140.484194
Poison	Cerulean Cave	36.047193	140.167760
Fighting	Saffron City	35.680460	139.766612
Bug	Mt. Moon	36.539991	139.166215
Bug	Safari Zone	36.036145	140.484194
Bug	Viridian Forest	36.036145	138.670876
Grass	Mt. Moon	36.539991	139.166215
Grass	Safari Zone	36.036145	140.484194
Fairy	Mt. Moon	36.539991	139.166215
Fairy	Celadon Gym	35.685080	139.710030
Electric	Power Plant	36.466389	140.606667
Electric	Cerulean Cave	36.047193	140.167760
Steel	Power Plant	36.466389	140.606667
Steel	Cerulean Cave	36.047193	140.167760
Ground	Diglett's Cave	20.787587	-156.027552
Water	Cerulean Cave	36.047193	140.167760
Rock	Cinnabar Island	34.744984	139.385938
Flying	Cinnabar Island	34.744984	139.385938
Psychic	Celadon Gym	35.685080	139.710030
